genre,title,avg_rating
(no genres listed),Marco Polo: One Hundred Eyes (2015),4.0
(no genres listed),Round Trip to Heaven (1992),4.0
(no genres listed),Pablo (2012),3.5
(no genres listed),The Take (2009),3.5
(no genres listed),The 50 Year Argument (2014),2.5
(no genres listed),Li'l Quinquin (    ),2.0
(no genres listed),The Big Broadcast of 1936 (1935),2.0
Action,"Chase, The (1994)",5.0
Action,"Friend Is a Treasure, A (Chi Trova Un Amico, Trova un Tesoro) (Who Finds a Friend Finds a Treasure) (1981)",5.0
Action,Ghost in the Shell: Stand Alone Complex - The Laughing Man (2005),5.0
Action,"Gunfighter, The (1950)",5.0
Action,Heaven & Earth (1993),5.0
Action,Love Exposure (Ai No Mukidashi) (2008),5.0
Action,Resident Evil: Retribution (2012),5.0
Action,Speedy (1928),5.0
Action,Star Wreck: In the Pirkinning (2005),5.0
Action,Superman/Batman: Public Enemies (2009),5.0
Adventure,"Chase, The (1994)",5.0
Adventure,Everything's Gonna Be Great (1998),5.0
Adventure,"Friend Is a Treasure, A (Chi Trova Un Amico, Trova un Tesoro) (Who Finds a Friend Finds a Treasure) (1981)",5.0
Adventure,Interstate 60 (2002),5.0
Adventure,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem (2003),5.0
Adventure,Iron Will (1994),5.0
Adventure,Ivan Vasilievich: Back to the Future (Ivan Vasilievich menyaet professiyu) (1973),5.0
Adventure,Mothra (Mosura) (1961),5.0
Adventure,"Plague Dogs, The (1982)",5.0
Adventure,The Revenant (2015),5.0
Animation,Animal Farm (1954),5.0
Animation,Feast (2014),5.0
Animation,Ghost in the Shell: Stand Alone Complex - The Laughing Man (2005),5.0
Animation,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem (2003),5.0
Animation,Memories (Memorîzu) (1995),5.0
Animation,More (1998),5.0
Animation,"Nine Lives of Fritz the Cat, The (1974)",5.0
Animation,"Plague Dogs, The (1982)",5.0
Animation,Superman/Batman: Public Enemies (2009),5.0
Animation,Batman: Under the Red Hood (2010),4.833333333333333
Children,Everything's Gonna Be Great (1998),5.0
Children,Feast (2014),5.0
Children,Heidi (1937),4.666666666666667
Children,"Batman/Superman Movie, The (1998)",4.5
Children,"Boxtrolls, The (2014)",4.5
Children,By the Light of the Silvery Moon (1953),4.5
Children,"Last Mimzy, The (2007)",4.5
Children,"Last Unicorn, The (1982)",4.5
