Action,Adventure,Animation,Children,Comedy,Crime,Drama,Fantasy,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War
46.0,31.0,-,-,31.0,-,45.0,-,-,-,-,-,-,-,43.0,-
9.0,10.0,-,-,11.0,-,11.0,-,-,-,-,-,-,-,12.0,-
13.0,-,-,-,35.0,-,36.0,-,-,-,-,-,22.0,-,21.0,-
-,-,-,-,46.0,18.0,76.0,-,-,-,-,-,37.0,-,18.0,-
-,22.0,21.0,21.0,45.0,-,-,-,-,-,-,-,21.0,-,-,-
-,14.0,-,-,28.0,-,31.0,-,-,-,-,-,15.0,-,13.0,-
95.0,53.0,-,-,46.0,-,-,-,-,-,-,-,-,63.0,71.0,-
-,12.0,-,-,24.0,-,30.0,-,-,-,-,-,17.0,-,16.0,-
39.0,-,-,-,53.0,-,49.0,-,-,-,-,-,24.0,-,45.0,-
4.0,-,-,-,10.0,-,11.0,-,-,-,3.0,-,8.0,-,-,-
29.0,32.0,-,-,36.0,-,32.0,-,-,-,-,-,-,-,27.0,-
4.0,-,-,-,8.0,-,10.0,4.0,-,-,-,-,6.0,-,-,-
8.0,7.0,-,-,10.0,-,11.0,-,-,-,-,-,-,-,15.0,-
6.0,7.0,-,-,12.0,-,6.0,-,-,-,-,-,-,-,8.0,-
-,16.0,-,-,26.0,-,37.0,-,21.0,-,-,-,-,-,20.0,-
36.0,-,-,-,25.0,-,23.0,-,-,-,-,-,-,22.0,36.0,-
61.0,58.0,-,-,63.0,-,49.0,-,-,-,-,-,-,41.0,-,-
37.0,-,-,-,28.0,24.0,32.0,-,-,-,-,-,-,-,47.0,-
29.0,24.0,-,-,18.0,-,74.0,-,-,-,-,-,-,-,20.0,-
11.0,-,-,9.0,16.0,-,39.0,-,-,-,-,-,19.0,-,-,-
43.0,49.0,-,-,-,-,40.0,34.0,-,-,-,-,-,37.0,-,-
55.0,51.0,-,-,100.0,-,77.0,-,-,-,-,-,-,-,42.0,-
20.0,-,-,-,16.0,14.0,38.0,-,-,-,-,-,-,-,22.0,-
78.0,55.0,-,-,-,69.0,152.0,-,-,-,-,-,-,-,98.0,-
18.0,18.0,-,-,144.0,-,27.0,-,-,-,-,-,44.0,-,-,-
6.0,7.0,-,-,11.0,-,8.0,-,-,-,-,-,5.0,-,-,-
-,7.0,-,-,32.0,-,14.0,9.0,-,-,-,-,11.0,-,-,-
48.0,36.0,-,-,47.0,-,58.0,-,-,-,-,-,-,-,37.0,-
106.0,61.0,-,-,77.0,-,82.0,-,-,-,-,-,-,-,87.0,-
45.0,48.0,-,-,33.0,-,30.0,-,-,-,-,-,-,24.0,-,-
13.0,-,-,-,14.0,14.0,27.0,-,-,-,-,-,-,-,14.0,-
49.0,59.0,-,-,101.0,-,132.0,-,-,-,-,-,61.0,-,-,-
-,-,-,-,35.0,18.0,65.0,-,-,-,-,-,25.0,-,12.0,-
6.0,7.0,-,-,13.0,-,9.0,-,-,-,-,-,-,5.0,-,-
13.0,10.0,-,-,13.0,7.0,-,-,-,-,-,-,-,-,16.0,-
10.0,9.0,-,-,11.0,-,17.0,-,-,-,-,-,-,-,13.0,-
-,-,-,-,24.0,16.0,25.0,-,-,-,-,10.0,14.0,-,-,-
114.0,150.0,-,121.0,145.0,-,103.0,-,-,-,-,-,-,-,-,-
12.0,12.0,-,-,-,-,11.0,-,-,-,-,-,-,9.0,8.0,-
10.0,-,-,-,10.0,-,10.0,-,-,-,-,7.0,-,-,14.0,-
-,-,-,17.0,62.0,-,50.0,-,-,-,-,-,32.0,-,17.0,-
9.0,13.0,-,-,35.0,-,25.0,-,-,-,-,-,27.0,-,-,-
6.0,8.0,-,-,10.0,-,10.0,-,-,-,-,-,6.0,-,-,-
57.0,46.0,-,-,68.0,-,88.0,-,-,-,-,-,-,-,54.0,-
-,21.0,16.0,13.0,34.0,-,26.0,-,-,-,-,-,-,-,-,-
13.0,-,-,-,22.0,-,35.0,-,14.0,-,-,-,-,-,16.0,-
